kind,database_group,demand,efficiency,climate_policy,source_file,public_file,source_scenario,public_scenario,source_sha256,public_sha256
scenario,,constant,high,net-zero-2050,configuration_AI_DConstant_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-high_net-zero-2050.xml,AI_DConstant_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-high_net-zero-2050,288fdbb39abd55002873c079497f0f6645baba479e64349d7a1338300963f906,192cd1d3d743e3d5e1282feca1d6d099936be2bf97df52669be5ec381e41d68d
scenario,,constant,high,reference,configuration_AI_DConstant_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-high_reference.xml,AI_DConstant_EHigh_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-high_reference,0c4780df2aa5a9f33366aaa0aca0d8ea423adf8896840c35b85bc283e6c6b98e,c658cd525c8583f9dd99e8ba5e130fdbab2e31856a7be35b85c1655cf1f07369
scenario,,constant,low,net-zero-2050,configuration_AI_DConstant_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-low_net-zero-2050.xml,AI_DConstant_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-low_net-zero-2050,2eeff3b2e7ba4d74b74666f078003e5af59f10f200a5632f77133ce69d912790,747201c297882eed55518df8d3164b86477085d1459210850ac59e51d0064d6b
scenario,,constant,low,reference,configuration_AI_DConstant_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-low_reference.xml,AI_DConstant_ELow_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-low_reference,6925a34f29904154c1fa1b0dc90a2d623372330cc28b1971b39aa75798270f5d,f159f7133232da101dec066c32c6d28cd2e430e663b9bc43def046eb120c0927
scenario,,constant,medium,net-zero-2050,configuration_AI_DConstant_EMedium_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-medium_net-zero-2050.xml,AI_DConstant_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-medium_net-zero-2050,0fbc2431f2aba68cef66c7cb6867aeec99b0bee602eb0ef976bbe016a8237017,648a37673d8a635e3fa901418b144c4abaf6b2458fbcc46f90ef9a1c8cf3c50d
scenario,,constant,medium,reference,configuration_AI_DConstant_EMedium_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-constant_efficiency-medium_reference.xml,AI_DConstant_EMedium_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-medium_reference,cbeabe94518f6b61eaf53d17125d7c9bb66750ad342908762cb5f9ded991423f,8691d2cf4862c75863d23f178214043904349bde007ef8bf61a578ca02bac80e
scenario,,high,high,net-zero-2050,configuration_AI_DHigh_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-high_net-zero-2050.xml,AI_DHigh_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-high_net-zero-2050,6df0b827ec5e3e34de6b36f1fbd6f078adae487bcfdce3d6805b8c96275ce08c,b7a251cdf3aa24b037924951df8436b72f775ddf25cc3eb581aa374a0fa6aa75
scenario,,high,high,reference,configuration_AI_DHigh_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-high_reference.xml,AI_DHigh_EHigh_ref_brp7d8cal,ai-data-center_demand-high_efficiency-high_reference,5ac4feab571854e9a0b03174f12025c5a7d0be201115c9cd23638b96211ebb93,9e7dc6a9bc1fa8b6ff79a19f956a151d80f3a5996766caaa19551ec0e4620936
scenario,,high,low,net-zero-2050,configuration_AI_DHigh_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-low_net-zero-2050.xml,AI_DHigh_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-low_net-zero-2050,7efb7e329560682038d11fb14fdd236aca3a83089a6b8e65c69195a5f65b03d4,f268fbcc3056e33a045dcaac269da1bb7470af27abd855c1f012ecc8a7028da3
scenario,,high,low,reference,configuration_AI_DHigh_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-low_reference.xml,AI_DHigh_ELow_ref_brp7d8cal,ai-data-center_demand-high_efficiency-low_reference,5bf924bce983ab93cf7378e0b817c1abfdea1cd068b370d488e4a7a08602158a,128dcbb4f5751aadeb92a7ce41d60366978c335edc1b78506c350fb0d59600a8
scenario,,high,medium,net-zero-2050,configuration_AI_DHigh_EMedium_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-medium_net-zero-2050.xml,AI_DHigh_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-medium_net-zero-2050,e1244575edd19b0dc333b95df9d59ce65d1e734bb9ac49e1024dd8c01ce047a7,159ba442f23f2ed2e584274e3902f67eb662bed1ee912cfbf4337d235fa98dd2
scenario,,high,medium,reference,configuration_AI_DHigh_EMedium_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-high_efficiency-medium_reference.xml,AI_DHigh_EMedium_ref_brp7d8cal,ai-data-center_demand-high_efficiency-medium_reference,990e44bc3fd56791d142f2c65567cfaade25a79ebc693b215270c182936e317e,1d991029221691c15d52830d370cb3ab4abb8ae4f38841e9763423062fda2d57
scenario,,low,high,net-zero-2050,configuration_AI_DLow_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-high_net-zero-2050.xml,AI_DLow_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-high_net-zero-2050,7fc97e63777e8a1722d8b8fd1bd7f0b4a5fdbbc3bea946da60e6873e4195ee0f,f2f333d45b0fba7d0c2428a869b91a59c5abce98362a9e084808c57fedebf4fb
scenario,,low,high,reference,configuration_AI_DLow_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-high_reference.xml,AI_DLow_EHigh_ref_brp7d8cal,ai-data-center_demand-low_efficiency-high_reference,3cbaef942a00ef93e94d6a254c7ebf7d6ca0e817a6ba246f185d67e4170802d7,4d46be872b03a201158b67c11b0680390a2592f7f3d18f1c1b617b17c4fd1e3f
scenario,,low,low,net-zero-2050,configuration_AI_DLow_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-low_net-zero-2050.xml,AI_DLow_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-low_net-zero-2050,a4d84f988e2a5ee2abd1166dc1d149888999ef5fdce15f3ba7564748dea33208,b82e0314ca25f0508f36751bf4e20492b9769e30d11c356a0a06fb93aef74495
scenario,,low,low,reference,configuration_AI_DLow_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-low_reference.xml,AI_DLow_ELow_ref_brp7d8cal,ai-data-center_demand-low_efficiency-low_reference,7ae8c6e4f8304cf4d9af7ebcb3f8cf769320d4ceb6e1d892b1b82f2079c3a227,c6b71ea75822d1a6728ee292840e0933d54b566a694295e1306da33f73e3d69b
scenario,,low,medium,net-zero-2050,configuration_AI_DLow_EMedium_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-medium_net-zero-2050.xml,AI_DLow_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-medium_net-zero-2050,dcf1f504f973cf05b22e8ca380be684997acbfacea5b981507e097526acef483,f7fda8860c5bc721708201b0ca3d0f00ec1b9406311ef41fbcb93737d59beedc
scenario,,low,medium,reference,configuration_AI_DLow_EMedium_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-medium_reference.xml,AI_DLow_EMedium_ref_brp7d8cal,ai-data-center_demand-low_efficiency-medium_reference,1d3db3b5475ef2fa65cadef0cc08d9a3a7a1b33779d266a83c242e18a71ccd87,ede347f46dd4d18b143f4c13075db0698d96d951f2970c0041ff2377112a70d5
scenario,,medium,high,net-zero-2050,configuration_AI_DMedium_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-high_net-zero-2050.xml,AI_DMedium_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-high_net-zero-2050,09434347bb2890bdee264cf243ada73cf6a6855209e11b14fa20eb32fa6e3870,a7cefb15af1768bcc5588405c724136bb77ab5bef4529cd7be425311b7b8f663
scenario,,medium,high,reference,configuration_AI_DMedium_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-high_reference.xml,AI_DMedium_EHigh_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-high_reference,a92a4c24d9d9e7428f587afe6a3b47fe4bc03b5d3aeea46fd405c1e078bcf140,632dd05954b0d5da7f433746998f201367d5832a80878bff25b24c4603ac5f88
scenario,,medium,low,net-zero-2050,configuration_AI_DMedium_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-low_net-zero-2050.xml,AI_DMedium_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-low_net-zero-2050,49b635f3f0c6513ffdac51979d4c6ff7ce2c6ce2f40cd6b4d286c5a4e8c09814,6da8a4b608200dbc9d2babced6fd4ff066b99ddf1a5b677232287c8e0a54f4f5
scenario,,medium,low,reference,configuration_AI_DMedium_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-low_reference.xml,AI_DMedium_ELow_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-low_reference,978b78b52a6d46b1cb561a497d2358497f9669783b9a4ac9b8f0b24a04c702a1,94a156f685fda804c498c2163f6d6d7e9b2fa0bdca87b4a2ebf033d9dad397a8
