# File: aeei_chi_compute.csv
# Title: demand-axis aeei by service x scenario (Low/Medium/High/Constant) x year (calibrated g0, scenario-specific persistence and declared long-run floor)
# Units: /yr (autonomous demand growth; negative = growth)
# Column types: ccin
# ----------
service,scenario,year,aeei
conv,Constant,2025,-0.122467
conv,Constant,2030,-0.107165
conv,Constant,2035,-0.074259
conv,Constant,2040,-0.051169
conv,Constant,2045,-0.035122
conv,Constant,2050,-0.024044
conv,Constant,2060,-0.013826
conv,Constant,2070,-0.00643
conv,Constant,2080,-0.002985
conv,Constant,2090,-0.001384
conv,Constant,2100,-0.000642
inference,Constant,2025,-0.368535
inference,Constant,2030,0.0
inference,Constant,2035,0.0
inference,Constant,2040,0.0
inference,Constant,2045,0.0
inference,Constant,2050,0.0
inference,Constant,2060,0.0
inference,Constant,2070,0.0
inference,Constant,2080,0.0
inference,Constant,2090,0.0
inference,Constant,2100,0.0
training,Constant,2025,-0.280495
training,Constant,2030,0.0
training,Constant,2035,0.0
training,Constant,2040,0.0
training,Constant,2045,0.0
training,Constant,2050,0.0
training,Constant,2060,0.0
training,Constant,2070,0.0
training,Constant,2080,0.0
training,Constant,2090,0.0
training,Constant,2100,0.0
conv,High,2025,-0.122467
conv,High,2030,-0.107165
conv,High,2035,-0.074259
conv,High,2040,-0.051169
conv,High,2045,-0.035122
conv,High,2050,-0.024044
conv,High,2060,-0.013826
conv,High,2070,-0.00643
conv,High,2080,-0.002985
conv,High,2090,-0.001384
conv,High,2100,-0.000642
inference,High,2025,-0.368535
inference,High,2030,-0.341106
inference,High,2035,-0.247224
inference,High,2040,-0.175777
inference,High,2045,-0.123301
inference,High,2050,-0.085681
inference,High,2060,-0.04995
inference,High,2070,-0.023464
inference,High,2080,-0.010942
inference,High,2090,-0.005085
inference,High,2100,-0.002359
training,High,2025,-0.280495
training,High,2030,-0.27981
training,High,2035,-0.200235
training,High,2040,-0.141095
training,High,2045,-0.098355
training,High,2050,-0.068051
training,High,2060,-0.039514
training,High,2070,-0.018508
training,High,2080,-0.008619
training,High,2090,-0.004003
training,High,2100,-0.001857
conv,Low,2025,-0.122467
conv,Low,2030,-0.107165
conv,Low,2035,-0.074259
conv,Low,2040,-0.051169
conv,Low,2045,-0.035122
conv,Low,2050,-0.024044
conv,Low,2060,-0.013826
conv,Low,2070,-0.00643
conv,Low,2080,-0.002985
conv,Low,2090,-0.001384
conv,Low,2100,-0.000642
inference,Low,2025,-0.368535
inference,Low,2030,-0.301727
inference,Low,2035,-0.161228
inference,Low,2040,-0.082469
inference,Low,2045,-0.041259
inference,Low,2050,-0.020415
inference,Low,2060,-0.007492
inference,Low,2070,-0.001801
inference,Low,2080,-0.000432
inference,Low,2090,-0.000104
inference,Low,2100,-2.5e-05
training,Low,2025,-0.280495
training,Low,2030,-0.246156
training,Low,2035,-0.129188
training,Low,2040,-0.065476
training,Low,2045,-0.032607
training,Low,2050,-0.016098
training,Low,2060,-0.005899
training,Low,2070,-0.001417
training,Low,2080,-0.00034
training,Low,2090,-8.1e-05
training,Low,2100,-2e-05
conv,Medium,2025,-0.122467
conv,Medium,2030,-0.107165
conv,Medium,2035,-0.074259
conv,Medium,2040,-0.051169
conv,Medium,2045,-0.035122
conv,Medium,2050,-0.024044
conv,Medium,2060,-0.013826
conv,Medium,2070,-0.00643
conv,Medium,2080,-0.002985
conv,Medium,2090,-0.001384
conv,Medium,2100,-0.000642
inference,Medium,2025,-0.368535
inference,Medium,2030,-0.326642
inference,Medium,2035,-0.213269
inference,Medium,2040,-0.1354
inference,Medium,2045,-0.084462
inference,Medium,2050,-0.052115
inference,Medium,2060,-0.025739
inference,Medium,2070,-0.009547
inference,Medium,2080,-0.003523
inference,Medium,2090,-0.001297
inference,Medium,2100,-0.000477
training,Medium,2025,-0.280495
training,Medium,2030,-0.2674
training,Medium,2035,-0.171986
training,Medium,2040,-0.108159
training,Medium,2045,-0.067073
training,Medium,2050,-0.041236
training,Medium,2060,-0.020307
training,Medium,2070,-0.007519
training,Medium,2080,-0.002773
training,Medium,2090,-0.001021
training,Medium,2100,-0.000376
