region,MW,share
Africa_Eastern,0,0
Africa_Northern,0,0
Africa_Southern,0,0
Africa_Western,0,0
Argentina,0,0
Australia_NZ,0.419328,0.00131164196042
Brazil,3.9627696,0.0123953918814
Canada,1.5402,0.00481768674509
Central America and Caribbean,0,0
Central Asia,0,0
China,153,0.478578153486
Colombia,0,0
EU-12,0.7023272,0.00219685264391
EU-15,24.97075936,0.0781075810826
Europe_Non_EU,0,0
European Free Trade Association,4.3744,0.0136829560432
India,0.2935296,0.000918149372297
Indonesia,0,0
Japan,13.70234912,0.0428604244462
Mexico,0,0
Middle East,6.32304336,0.0197782380107
Pakistan,0,0
Russia,5.720723008,0.0178942029658
South Africa,0,0
South America_Northern,0,0
South America_Southern,0,0
South Asia,0,0
South Korea,2.6717424,0.00835710813321
Southeast Asia,0.1374464,0.000429927087028
Taiwan,1.4999,0.00469162988505
USA,100.378482088,0.313980056257
Ukraine,0,0
